player_name,team,fantasy_points_2023
DJ Moore,CHI,268.5
Cooper Kupp,LAR,163.5
Davante Adams,LV,246
Mack Hollins,ATL,60.6
Michael Pittman Jr.,IND,241.6
Justin Jefferson,MIN,170.7
DeVonta Smith,PHI,222
Marquise Brown,ARI,154.8
Brandon Aiyuk,SF,239.1
Donovan Peoples-Jones,CLE,56.7
Diontae Johnson,PIT,122.7
Terry McLaurin,WAS,170.5
Adam Thielen,CAR,215
Christian Kirk,JAX,180.6
CeeDee Lamb,DAL,335.4
Gabe Davis,BUF,143.6
A.J. Brown,PHI,299
Parris Campbell,NYG,47.4
Amari Cooper,CLE,215.2
Allen Robinson II,PIT,54.1
Darnell Mooney,CHI,91.3
Zay Jones,JAX,76.5
DK Metcalf,SEA,210.6
Mike Evans,TB,246
Garrett Wilson,NYJ,214.6
Allen Lazard,NYJ,87.8
Robert Woods,HOU,110.1
Drake London,ATL,174.3
Courtland Sutton,DEN,194.2
Stefon Diggs,BUF,268.2
George Pickens,PIT,201.4
Tyreek Hill,MIA,355.5
Joshua Palmer,LAC,90.8
Nick Westbrook-Ikhine,TEN,61.9
K.J. Osborn,MIN,120
Jaylen Waddle,MIA,200.1
DeAndre Hopkins,TEN,207
Tyler Lockett,SEA,180.4
Amon-Ra St. Brown,DET,294
Chris Godwin,TB,209.8
Tyler Boyd,CIN,124.8
Ja'Marr Chase,CIN,225.1
Curtis Samuel,WAS,147.3
Noah Brown,HOU,86.8
Olamide Zaccheaus,PHI,34.6
Devin Duvernay,BAL,25.2
Tee Higgins,CIN,120.3
Ben Skowronek,LAR,13.5
Marquez Valdes-Scantling,KC,84.1
JuJu Smith-Schuster,NE,66.9
Elijah Moore,CLE,131.2
Jakobi Meyers,LV,211.9
Tyquan Thornton,NE,18.6
Van Jefferson,LAR,67.3
Chris Moore,TEN,57.1
Michael Gallup,DAL,93.4
Terrace Marshall Jr.,CAR,53.1
Alec Pierce,IND,82.5
Jerry Jeudy,DEN,144.2
Marvin Jones Jr.,DET,19.8
Brandin Cooks,DAL,137.3
Chase Claypool,MIA,24.1
Darius Slayton,NYG,127.5
Deebo Samuel,SF,243.7
DJ Chark Jr.,CAR,98.5
Mike Williams,LAC,66.6
DeAndre Carter,LV,28.5
Demarcus Robinson,LAR,59.3
Quez Watkins,PHI,32.9
Chris Olave,NO,227.6
Trent Sherfield,BUF,36.6
Corey Davis,NYJ,
Isaiah Hodgins,NYG,73.1
Jahan Dotson,WAS,144.2
Josh Reynolds,DET,102.6
Equanimeous St. Brown,CHI,34.1
DeVante Parker,NE,77.4
Nico Collins,HOU,254.6
Isaiah McKenzie,IND,44.1
Dante Pettis,CHI,
Hunter Renfrow,LV,56.5
Rondale Moore,ARI,79.3
Treylon Burks,TEN,70.6
Kalif Raymond,DET,99.1
