player_name,team
DJ Moore,CHI
Cooper Kupp,LAR
Davante Adams,LV
Mack Hollins,ATL
Michael Pittman Jr.,IND
Justin Jefferson,MIN
DeVonta Smith,PHI
Marquise Brown,ARI
Brandon Aiyuk,SF
Donovan Peoples-Jones,CLE
Diontae Johnson,PIT
Terry McLaurin,WAS
Adam Thielen,CAR
Christian Kirk,JAX
CeeDee Lamb,DAL
Gabe Davis,BUF
A.J. Brown,PHI
Parris Campbell,NYG
Amari Cooper,CLE
Allen Robinson II,PIT
Darnell Mooney,CHI
Zay Jones,JAX
DK Metcalf,SEA
Mike Evans,TB
Garrett Wilson,NYJ
Allen Lazard,NYJ
Robert Woods,HOU
Drake London,ATL
Courtland Sutton,DEN
Stefon Diggs,BUF
George Pickens,PIT
Tyreek Hill,MIA
Joshua Palmer,LAC
Nick Westbrook-Ikhine,TEN
K.J. Osborn,MIN
Jaylen Waddle,MIA
DeAndre Hopkins,TEN
Tyler Lockett,SEA
Amon-Ra St. Brown,DET
Chris Godwin,TB
Tyler Boyd,CIN
Ja'Marr Chase,CIN
Curtis Samuel,WAS
Noah Brown,HOU
Olamide Zaccheaus,PHI
Devin Duvernay,BAL
Tee Higgins,CIN
Ben Skowronek,LAR
Marquez Valdes-Scantling,KC
JuJu Smith-Schuster,NE
Elijah Moore,CLE
Jakobi Meyers,LV
Tyquan Thornton,NE
Van Jefferson,LAR
Chris Moore,TEN
Michael Gallup,DAL
Terrace Marshall Jr.,CAR
Alec Pierce,IND
Jerry Jeudy,DEN
Marvin Jones Jr.,DET
Brandin Cooks,DAL
Chase Claypool,MIA
Darius Slayton,NYG
Deebo Samuel,SF
DJ Chark Jr.,CAR
Mike Williams,LAC
DeAndre Carter,LV
Demarcus Robinson,LAR
Quez Watkins,PHI
Chris Olave,NO
Trent Sherfield,BUF
Corey Davis,NYJ
Isaiah Hodgins,NYG
Jahan Dotson,WAS
Josh Reynolds,DET
Equanimeous St. Brown,CHI
DeVante Parker,NE
Nico Collins,HOU
Isaiah McKenzie,IND
Dante Pettis,CHI
Hunter Renfrow,LV
Rondale Moore,ARI
Treylon Burks,TEN
Kalif Raymond,DET
