player_name,yprr
1. Justin Jefferson,2.69
2. Tyreek Hill,3.32
3. Davante Adams,2.58
4. A.J. Brown,2.9
5. Stefon Diggs,2.72
6. CeeDee Lamb,2.52
7. Jaylen Waddle,2.7
8. DeVonta Smith,2.23
9. Terry McLaurin,2.13
10. Amon-Ra St. Brown,2.44
11. Amari Cooper,2.21
12. Mike Evans,1.87
13. Christian Kirk,1.88
14. Garrett Wilson,1.96
15. DK Metcalf,1.93
16. Ja'Marr Chase,2.17
17. Chris Olave,2.5
18. Tyler Lockett,2.05
19. Tee Higgins,2.07
20. Chris Godwin,1.8
21. Brandon Aiyuk,2.06
22. Jerry Jeudy,2.26
23. JuJu Smith-Schuster,1.95
24. Michael Pittman,1.5
25. Mike Williams,2.03
26. D.J. Moore,1.92
27. Diontae Johnson,1.53
28. Drake London,2.34
29. Donovan Peoples-Jones,1.58
30. Gabe Davis,1.61
31. Courtland Sutton,1.63
32. Zay Jones,1.55
33. Cooper Kupp,2.51
34. Jakobi Meyers,2.06
35. George Pickens,1.49
36. Allen Lazard,1.71
37. Josh Palmer,1.34
38. Tyler Boyd,1.48
39. Keenan Allen,2.26
40. Darius Slayton,2.05
41. DeAndre Hopkins,2.14
42. Adam Thielen,1.13
43. Marquise Brown,1.54
44. Brandin Cooks,1.7
45. Mack Hollins,1.19
46. Marquez Valdes-Scantling,1.38
47. Curtis Samuel,1.34
48. K.J. Osborn,1.16
49. Deebo Samuel,1.78
50. Parris Campbell,1.07
51. Kalif Raymond,2.02
52. Christian Watson,2.36
53. Alec Pierce,1.29
54. Richie James,1.89
55. Noah Brown,1.34
56. Chris Moore,1.3
57. DeVante Parker,1.8
58. DeAndre Carter,1.16
59. Corey Davis,1.45
60. Olamide Zaccheaus,1.71
61. Marvin Jones,1.15
62. Robert Woods,1.22
63. Jahan Dotson,1.47
64. D.J. Chark,1.51
65. Darnell Mooney,1.94
66. Terrace Marshall,1.69
67. Rashid Shaheed,2.74
68. Nico Collins,1.7
69. Josh Reynolds,1.29
70. Greg Dortch,1.45
71. Demarcus Robinson,1.38
72. Chase Claypool,1.18
73. Elijah Moore,0.95
74. Treylon Burks,1.85
75. Kendrick Bourne,1.63
76. Russell Gage,1.21
77. Romeo Doubs,1.44
78. Michael Gallup,1.06
79. Isaiah McKenzie,1.22
80. Trent Sherfield,1.11
81. Randall Cobb,1.74
82. Jauan Jennings,1.49
83. Rondale Moore,1.59
84. Devin Duvernay,1.29
85. Nick Westbrook-Ikhine,1.01
86. Isaiah Hodgins,1.73
87. Marquise Goodwin,1.39
88. Ben Skowronek,1.01
89. Van Jefferson,1.36
90. Nelson Agholor,1.31
91. Quez Watkins,0.98
92. Allen Robinson,1.02
93. Hunter Renfrow,1.17
94. Sammy Watkins,1.69
95. Equanimeous St. Brown,1.55
96. Justin Watson,1.17
97. Kendall Hinton,1.21
98. Julio Jones,1.33
99. Tutu Atwell,1.92
100. Mecole Hardman,1.56
101. Shi Smith,0.99
102. Rashod Bateman,2.5
103. Robbie Chosen,0.96
104. Tre'Quan Smith,1.61
105. Jarvis Landry,1.36
106. Damiere Byrd,1.77
107. Phillip Dorsett,0.94
108. Skyy Moore,1.71
109. Tyquan Thornton,0.83
110. Dante Pettis,1.03
111. Ray-Ray McCloud,1.59
112. A.J. Green,0.69
113. Trenton Irwin,1.35
114. Wan'Dale Robinson,1.91
115. David Bell,0.72
116. Ashton Dulin,1.71
117. Amari Rodgers,1.29
118. Denzel Mims,1.3
119. Scott Miller,0.99
120. Michael Thomas,1.61
121. K.J. Hamler,1.11
122. Khalil Shakir,1.27
123. Marquez Callaway,0.82
124. Brandon Powell,1.29
125. Zach Pascal,1.09
126. Braxton Berrios,0.86
127. Tom Kennedy,1.14
128. Keelan Cole,0.59
129. Cedrick Wilson,1.03
130. Byron Pringle,1.15
131. Breshad Perriman,0.84
132. David Sills,0.99
133. Steven Sims,0.74
134. Marcus Johnson,0.59
135. Cam Sims,0.54
136. Michael Bandy,0.66
137. Kenny Golladay,0.61
138. James Proche,0.52
139. Brandon Johnson,0.35
140. Mike Thomas,0.35
