player_name,yprr
DeVonta Smith,1.99
Alec Pierce,0.9
Michael Pittman Jr.,2.17
Davante Adams,2.06
Garrett Wilson,1.64
Adam Thielen,1.74
Cooper Kupp,2.02
Amon-Ra St. Brown,2.72
DJ Moore,2.56
Jakobi Meyers,1.6
Jonathan Mingo,0.84
Keenan Allen,2.64
A.J. Brown,2.83
Ja'Marr Chase,2.16
George Pickens,2.28
Puka Nacua,2.78
Zay Flowers,1.88
Terry McLaurin,1.65
Marquise Brown,1.34
Justin Jefferson,3.02
Calvin Ridley,1.7
DK Metcalf,2.16
CeeDee Lamb,3.02
Gabe Davis,1.45
Brandon Aiyuk,3.31
Jahan Dotson,0.87
Jordan Addison,1.65
Stefon Diggs,2.17
Drake London,2
Chris Godwin,1.92
Darius Slayton,1.57
Michael Wilson,1.46
Tyler Lockett,1.68
Amari Cooper,2.46
K.J. Osborn,1.05
Mike Evans,2.48
Courtland Sutton,1.86
Romeo Doubs,1.39
Christian Watson,1.65
Tyler Boyd,1.28
Allen Lazard,0.75
DJ Chark Jr.,1.19
Joshua Palmer,1.92
Darnell Mooney,1.03
Tee Higgins,1.77
Deebo Samuel,2.48
Chris Olave,2.12
Brandin Cooks,1.35
DeVante Parker,1.21
Elijah Moore,1.2
Zay Jones,1.11
Kendrick Bourne,1.84
Allen Robinson II,0.77
DeAndre Hopkins,2.23
Josh Reynolds,1.34
Diontae Johnson,2.13
Christian Kirk,2.27
Robert Woods,1.12
Nick Westbrook-Ikhine,1.25
Josh Downs,1.67
Nico Collins,3.37
Jaylen Waddle,2.76
Rondale Moore,0.8
Tyreek Hill,3.96
Tank Dell,2.22
Jerry Jeudy,1.81
Wan'Dale Robinson,1.51
Trey Palmer,0.91
Quentin Johnston,0.97
JuJu Smith-Schuster,1.18
Jason Brownlee,0.34
Jaxon Smith-Njigba,1.38
Tutu Atwell,1.27
Treylon Burks,0.89
Alex Erickson,1.18
Cedric Tillman,0.68
Rashee Rice,2.66
Rashid Shaheed,1.69
Rashod Bateman,1.27
Chris Moore,1.53
Jayden Reed,2.15
Cedrick Wilson Jr.,1.17
Terrace Marshall Jr.,0.71
Curtis Samuel,1.57
DeMario Douglas,1.83
Van Jefferson,0.62
Skyy Moore,1.03
Jameson Williams,1.5
A.T. Perry,1.23
Michael Gallup,1.1
Khalil Shakir,2.09
Nelson Agholor,1.27
Justin Watson,1.51
Odell Beckham Jr.,2.38
Jalin Hyatt,1.07
Xavier Gipson,0.7
Quez Watkins,0.82
Jalen Guyton,0.53
Donovan Peoples-Jones,0.66
Brandon Johnson,1.49
Jalen Reagor,0.75
